query,organization
chocoblocked nh8 from dhaula kuan till toll.,dtptraffic
can you check the jam on national highway!,dtptraffic
Goods train stuck local service disturb beyond kly.,RailMinIndia
Daily Mafia in Season tkt compart Intercity Express they dont allow anybody sit on vacant seats tough action on pass Mafia.,RailMinIndia
Road blocked frm to ggn b safe.,dtptraffic
why is surge pricing back in Delhi NCR?,dtptraffic
whats happening on Delhi Gurgaon NH-8? Whats the police doing.,dtptraffic
huge traffic jam on NH 8 today !,dtptraffic
severe traffic on NH 8 near Gurgaon toll! Another VIP movement or public angst after odd even!,dtptraffic
please avoid NH8. Massive massive jam towards GURGAON . Standstill.,dtptraffic
Shame! This is what happens to history on Indian Railways!,RailMinIndia
Bring odd-even back.,dtptraffic
Is anything being done about the traffic going towards Gurgaon on NH8?,dtptraffic
Juvenile granted bail on 26/04 but fight for Justice For Sidd is on.,DelhiPolice
Terrible traffic of at least 8-10 km! Am told vehicles being challened near ambiance!,dtptraffic
What's the update on jam near Rajokari? NH8 blocked.,dtptraffic
Just hopng ths case solved in a way tht no parents EVER allow their minor kids to drive. Onus now on and judiciary. Justice For Sidd.,DelhiPolice
please do something for NH-8.,dtptraffic
Road blocked nh8.,dtptraffic
People travelling from toll beware pls a commotion is up to stop your cars keep doors locked already there to. help. chaos.,DelhiPolice
Nh8 delhi to Gurgaon is chockablock . Avoid. . Trffc stretching up to RTR.,dtptraffic
2/2 for baby's convinence can u help us to get lower n middle bearth or sode lower and side uper bearth. PNR- 8644448206.,RailMinIndia
and ur deserve same. India wish u to keep going same.,RailMinIndia
Sir Getting call from 7295915340 and the man is asking bank details and abusing . What to do?,DelhiPolice
"Here's one inspector who took the motto of """"With u for u always"""". a little too seriously?",DelhiPolice
Massive Jam all over. Can protect the Decision or we have no rulling .,dtptraffic
can you please provide update regarding blockage by taxi drivers at delhi Gurgaon toll ? Is situation at NH8 improving ?,dtptraffic
Bothering common citizens has become governance. . what is this happening. r u on labour day off.,dtptraffic
Y is DND closed. Did u had any back up plan when diesel ban is announced. u r failed CM.,dtptraffic
Unbelievable data from to get you depressed today!,IncomeTaxIndia
inspector Kehar Singh and an imposter who faked to be joint secretary arrested during raid at Jabalpur Police station.,DelhiPolice
royal mess on NH8 both sides. Taxi aggregators taken administration for ride. Pure blackmail at Rajokri border.,dtptraffic
The arrested inspector by CBI.,DelhiPolice
surprised its already 2 hrs that I started from punjabi bagh yet not reached gurgaon. How much fuel n manhrs wasted. No control.,dtptraffic
Train 22462 on 01. 05. 2015 most toilets had water pressure issues and also they were stinking in some coaches.,RailMinIndia
+919310477858 Froud Call. CREDIT CARD . SBI CREDIT CARD NO WANT WITH ALL DEATILS. ALERT ALERT. call from delhi.,DelhiPolice
NH8 packed right from Vasant Vihar to Gurgaon.,dtptraffic
Administration caught sleeping resulting in massive jams peak office time on NH8 due agitation by taxi aggregators.,dtptraffic
can you please update what is the status of traffic jam at reports show heavy jam.,dtptraffic
CBI arrests a inspector and a man who posed himself as Joint Secretary during raids in Delhi's Janakpuri.,DelhiPolice
Mammoth traffic jam at ashram due to taxi association's protest. They demand to allow commercial diesel taxi on Delhi road.,dtptraffic
Delhi border areas have been packed by traffic jam. Delhi-Gurugram road disturbed. Plz avoid roads. Use .,dtptraffic
The only train which has superfast fare but does not start with 12xxx and 2xxxx series. Know IR.,RailMinIndia
is there a traffic blockade on DND flyover?,dtptraffic
Curious which state dies this plate baking to?,dtptraffic
Despite end of Odd Even Dobara no and available neither at surge or normal.,dtptraffic
Delhi cant Road towards narayana from Airport is blocked. Kindly help.,dtptraffic
MP relative trated as VIP whatever he is behaving like goon but a rail employee just treated as he is a goon.,RailMinIndia
what is the status of mg road now? Is it still jam packed?,dtptraffic
also what abt nh8? Is it clear now?,dtptraffic
Ticket booking per person online should be increased to 10 from 6. Average Indian families are big.,RailMinIndia
Amazed what was doing to control the situation.,dtptraffic
Boarding Point can't be changed online if ticket booked through IRCTC App. Let me check d year yes its 2016.,RailMinIndia
Arrested inspector to be produced in Rohini Courts at 2. 30pm.,DelhiPolice
Eligible for %commission since we waste our time money manpower for TDS ST VAT collection and paying into your coffers ?,IncomeTaxIndia
Picture of the inspector Kehar Singh who has been arrested by CBI during raids at Delhi's Janakpuri.,DelhiPolice
2/2 the toilets were broken ! Even toilets were in shabby condition. Will you please care of these things ?,RailMinIndia
I had reserved seat in S4 couch and the crowd was unmanageable and no ticket checking was also done. 2/n.,RailMinIndia
kindly advice. M at cant area now heading for gurgaon via expressway. Should I continue or return back in wake of protests.,dtptraffic
At Maharani Bagh. do something mr.,dtptraffic
stranded near new friends colony on road connecting to ring road for 45 mins! Vehicles not moving. Fix asap.,dtptraffic
position is unbearable no one stops at red light on G. T KARNAL ROAD OPP. CNG PUMP AS A RESULT SO MANY ACCIDENTS R THERE.,dtptraffic
No approach rd no train/coach dsply bord no pltfrm num bord at ChheokiCOI station so inconvenient.,RailMinIndia
Signal at Andrewsgunj kendriya vidyalaya and GK1 has been malfunctioning since Yesterday. Huge jams. Pls fix asap.,dtptraffic
when the signal is not working plz find an alternative to sort out the traffic. Andheria mod is in a mess on mg road.,DelhiPolice
Is there any heavy struck of traffic on dnd? Tell me asap! As i need to changed my route then! I have to reach early! Emergency!,dtptraffic
17405 Krishna Express AC CHAIR CAR VERY DIRTY.,RailMinIndia
Wondering why pollution levels not coming down? 2 heavily polluting trucks Ring Road 5:45pm 1 May.,dtptraffic
Delhi is in a state of traffic mess . Today is a live example of where we have reached as part of. delhi government. efforts.,dtptraffic
DND is almost ineffective receiving so many spam and Social Engineering calls from NCR region.,DelhiPolice
what's the best route from Noida towards Delhi in the current traffic situation?,dtptraffic
Such honest policemen. corrupt at core.,DelhiPolice
hearing lots of traffic blocks on NH8 near the Delhi-Gurgaon border and earlier. Kindly advise.,dtptraffic
Only one percent pay income tax in India …. BJP.,IncomeTaxIndia
Rs. 200 deducted from my online bank account but money does not reflect in my UTS wallet pls help.,RailMinIndia
The careless parents give licence to die their children and kill others on road. Pls take action.,dtptraffic
my bike was stolen last year. Its been found in agra but no action being taken by IO assigned. Report registered at jamia.,DelhiPolice
DEAR SIR / MAM PLS AVAILABLE HELMET AT RIGHT PRICE WHEN U CHALAN THEN GIVE HELMET TO U CHALN EXTRA FOR HELMET THANK YOU.,dtptraffic
PNR 6149977746 HWH to Puri . My sis travelling with 2 Sr Citizens. AC not working No one responding. Help.,RailMinIndia
Msg2:journey started from GWL2nd May some'X' person tried to open her purse chain while she was washing face.,RailMinIndia
do we have road block near Rajokri toward Gurgaon?,dtptraffic
Traffic control is not taking care hence Train 12391 is going late. It is at Mughalsarai and late by 1. 45 hrs.,RailMinIndia
Sir appreciate if you could repair faulty fan in Kottayam railway station. This will be a great help.,RailMinIndia
Please check this tweet I guess he has some information. Just see.,DelhiPolice
madam sir any update on traffic towards Delhi from Gurgaon. diesel vehicle ban.,dtptraffic
any blockage from gurgaon to delhi on NH8 today evening due to taxi demonstrations ? should we avoid the route ?,dtptraffic
At abt 4pm today at Anand Niketan drunk driver rams into parked EcoFord. Will a medical test be done?,dtptraffic
Well Done! Railways rescued over 7 000 children last year -via.,RailMinIndia
receiving abusive calls from this number 9717692919 do something.,DelhiPolice
sir how is the traffic between ashram to ashok vihar?,dtptraffic
1700 hours on 2nd may. Jumping stop line at Alaknanda.,dtptraffic
Forest Dept of Haryana and Punjab and sign agreement for plantation of trees along Railway Track on Railway Land Boundary.,RailMinIndia
Railways to plant 5 crore saplings on rail land before monsoon.,RailMinIndia
Lost my phone yesterday caught a confirmed thief gave him to police but he was released without even viewing the CCTV footage.,DelhiPolice
No help frm nearby PCR and PS Mukherje Nagar Nt further investigated. it was a mobile but its only police we can seek help from.,DelhiPolice
Experimental stoppage to13026/13025 HWH-BPL-HWH Exp at Niwas Road station for a period of 6 month from 11/16. 5. 16.,RailMinIndia
why no response about traffic sentinel app?,dtptraffic
my PNR no. Is 8531572561 will bord on Sunday 8th may 2016 frm Bandra so pls let me know is there any mega block on that rout.,RailMinIndia
Dangerous sign Board on flyover. Can hit traffic if falls.,dtptraffic
Dr sir been to NZM on 30-Apr to see off my in-laws. PF# 4-5 had foul smell of urine nr stairs.,RailMinIndia
why r we being harassed by . Because we r transporter. My cat was stopped at Saket on the way back to Ghaziabad.,DelhiPolice
Visiting hospital no concern abt people traffic rules obeyed but mum not wearing helmet ⛑. Traffic Update. Challans.,dtptraffic
train no. 12810 last 4 hours he is in nagpur all passenger r very trabal plz see this matter urgent.,RailMinIndia
If people are going to take the cabs instead of self drive how will that help pollution or traffic issues. Odd Even Dobara.,dtptraffic
sir Please do something from the traffic police who standing whole day in this killing weather to clear the traffic.,dtptraffic
Like me can travel without any fear . I hope u wil take appropriate action 9/9.,RailMinIndia
The biggest Acche Din step would be to bring about such Police Reforms measures.,DelhiPolice
Impressive Delhi Cop charged with abetment to suicide dismissed !,DelhiPolice
police picket near Lajpat Nagar Metro Station. 2 constables standing on side. Hardly any Chk. Huge traffic bottleneck.,dtptraffic
AC in Mumbai-Pune DQ fails DQ is a heritage train and the rakes are in bad shape.,RailMinIndia
Unauthorised vendrs menace Nashik RailwayStation. Authorised vendors dmand protection.,RailMinIndia
Can India’s venture capitalists break from the herd? startup.,RailMinIndia
I came to know this add.,RailMinIndia
What kind of weird solution is this?,RailMinIndia
LIAR - he was NEVER a commissioner of -. Looteri Sonia.,IncomeTaxIndia
Credit traffic cops on duty on roads pls note more traffic cops shud b recruited more authority given.,dtptraffic
Work hrs shud b restricted to 8 hrs more staff with more authorities given is necessary.,dtptraffic
i rctc for water bottle I paid Rs20 and Biscuits Rs -15 : - niligiris express - CBE 2 CHE.,RailMinIndia
Round the clock traffic cops are necessary to prevent early morning truck accidents too.,dtptraffic
"Why """"system"""" sleeps when people like A. Mohan of Andhra Pradesh loot up to 800 crores?",IncomeTaxIndia
Look into this! Near Market at Bengaluru.,DelhiPolice
very heavy traafic in dwarka mor redlight before 1 hour no traffic police is here.,dtptraffic
Train No 17308 Bagalkot to Mysore S3 70 fan is not working. plz do something.,RailMinIndia
Constant water flow from a pipe at Tinsukia New Railway Station Assam.,RailMinIndia
ban kingfisher in India. Stagewise and start creating charge on malya direct and indirect asset.,IncomeTaxIndia
Sir ur bags could not be traced out despite best efforts.,RailMinIndia
Driving without helmet and triple. Delhi police guys 2. 5. 16 at 5pm at jasola.,dtptraffic
traveling SUR TO KOP IN 3A/c no pillows blankets bedsheets pillow cover was kept at11:50 we strated getin things.,RailMinIndia
Firing in delhi . Report ANI.,DelhiPolice
Over 100 diesel-run taxi drivers booked by.,DelhiPolice
He was doing the job of so pls fogive him. he could hv dream of being a cop.,DelhiPolice
why juggis are being constructed near district park A1 block paschim Vihar?,DelhiPolice
ji. Juggis are being constructed in my area near district park A1 block paschim Vihar. ?,DelhiPolice
Need to have urgent attention on Corruption by Delhi Tpt Dept and Delhi Traffic Police.,dtptraffic
Be the voice for your country/city on. My City Through My Eyes. My Country Through My Eyes.,dtptraffic
Overcharging for tea by the caterers in Karnavati Express Ahmedabad - Mumbai Coach C1. Checked the rate card too.,RailMinIndia
‘Introduce direct train between Vizag Goa’ - Matter notified to for taking NA.,RailMinIndia
we can have joint policy to track down the missing children all over India for child's saftey.,RailMinIndia
India-Japan meeting on bullet train next month.,RailMinIndia
hi need information on what is the rule to run a PG accommodation in residential flats.,DelhiPolice
Taxi strike and chaos over green fuel being exploited by AAP to justify Odd Even!,dtptraffic
why special discounts on cash transactions below 50k? can u provide an explanation?,IncomeTaxIndia
Senior citizens are severely affected by non operation of escalator at TrichyTN Junction at 2.,RailMinIndia
Why is penalizing users on auto-cancellation of wait-list without providing service ?,RailMinIndia
traffic light at New Friends Colony/Maharani Bagh T-point intersection is not working.,dtptraffic
No action taken yet on Complaint Id S/NR/LKO/000084448 and S/NR/LKO/000084329.,RailMinIndia
stuck at Radisson Delhi ggn highway for the past 23 mins . The traffic has not even moved an inch.,dtptraffic
Pls to instill a sense of proper parking. This car was parked on the road and now other cars can't move out.,dtptraffic
Police blocking my footpath agaon. now. transport bhawan exit. . parliament street.,dtptraffic
delhi gurgaon nh8 again jammed by disel drivers at mahipalpur.,dtptraffic
Pathetic state of affairs.,IncomeTaxIndia
plz take actions now. your team has all excuses to ignore the complaints. what next?,dtptraffic
again the same vehicle in middle of the road. Samachar apartments. Vehicle stops in middle of the road.,dtptraffic
NH 8 blocked by cabbies just opp. Shiv murti. delhi diesel ban.,dtptraffic
sir Kanjhawala to pitam pura route par many RTV bases tinted glass. Please remove black film and make challans. Urgent. Safe women.,dtptraffic
despite every report proving oddeven a failure how DTC buses can display it as successful!,dtptraffic
some protest at DND flyway. Entire flyway is jammed and choked.,dtptraffic
Any idea how many day's more required to permanent open this Bhairon Road - Thanks.,dtptraffic
too much traffic on mahipalpur flyover. Is it due to Deiselcarban protest? Highly. irritating.,dtptraffic
massive traffic jam on NH8 not sure what causes such massive jam daily. Is ther a way 4 u guys to take some corrective steps.,dtptraffic
sir ji what happened on nh8 ?,dtptraffic
mobs brutally attack local family of kotla mubarak pur denies action Address 1833 bhagwan das gali. unsafe. Delhi.,DelhiPolice
no movement on nh8 towards Gurgaon.,dtptraffic
DND blocked again?,dtptraffic
Massive traffic on dnd from ashram to noida. Morons are turning back and driving against traffic. delhi.,dtptraffic
pls ride harbour line between Mankhurd and Vadala. Experience the crap v go thru.,RailMinIndia
traffic frm ashram to noida toll cars moving both ways on one way.,dtptraffic
so this is how the situation is handled.,dtptraffic
DND tollway is in complete mess for 2nd day massive pile up on Ashram carriageway.,dtptraffic
traffic mess on nH8 one hour plus same place.,dtptraffic
This country can't enforce a simple taxi ban for no love or money! taxi protest. taxi protest.,DelhiPolice
Somebody help traffic is crazy on both noida and mahipalpur not fair to commuters.,dtptraffic
hello read some changes in railway ticketing rules. From 1st july can u plz confirm.,RailMinIndia
sir Inderprastha Apartment sector 14 Rohini chowk red light not working. Please repair urgent 3 may.,dtptraffic
Total commotion towards delhi on NH8. Where is and our honorable odd-even CM ?,dtptraffic
It is surprising that have ZERO intelligence on traffic blockages planned by. taxi. drivers. delhi.,dtptraffic
We thought surge pricing was over!,dtptraffic
We block the road coz we are the law. surajkund rd Is it legal to block rd and cause jams? un smart city.,dtptraffic
Kindly advice on thw current traffic situtation from delhi towards gurgaon.,dtptraffic
RT Over 100 diesel-run taxi drivers booked by via.,DelhiPolice
massive jam between Shalimar Bagh and Shalamar Village. Traffic light dysfunctional. Buses trucks ricks cars and all .,dtptraffic
Ekdam sahi ! This might be the correct way to make the dumb government to listen voice of poors !,dtptraffic
the flush tank one of the toilet is broken n fell on ground. @ rourkela 2nd class waiting hall toilet. Kindly mend it.,RailMinIndia
. thanx for good initiative regarding passenger's concerns.,RailMinIndia
looks like clear case of murder police inspector in house when woman journo allegedly jumped.,DelhiPolice
KIndly check the tweets and the filth.,DelhiPolice
My pnr no. Is 8646854034 Both r sr. citizen 56 births r available N rly gave both upper birth ?,RailMinIndia
NDTV's request is similar to saying pls drive safely and have a drink if you canagain safelyjust for TRP.,dtptraffic
--KAROL BAGH METRO. TIME 11-55. STANDING ON DTC BUS STAND. REFUSED TO MOVE.,dtptraffic
In Delhi. WTF is BJP's doing? In Cong ruled Kerala. We all need to work together. Yeah one feels sick.,DelhiPolice
thanks Shri. Rajender singh ASI for his support and guidance in our Road safety drive.,dtptraffic
This is a problem at Central school flyover Andrews Ganj. Drivers taking an illegal turn.,dtptraffic
Sir I wish to bring to your kind notice my grievance. I've been a victim of wrongful challan bcoz of a non-working trafficlight.,dtptraffic
3/n Non working traffic light at Shani Mandir Patparganj.,dtptraffic
5/n My license has been impounded for 3 months and fine of Rs. 1100 imposed on me. incident occured on 28/4/16 8:22am Shani Mandir.,dtptraffic
CNG cab drivers crying rails station Traffic police charging invalid challans. People suffering. Plz chk.,dtptraffic
from ITO towards cp road heavy traffic.,dtptraffic
Sir what is the status of traffic on NH8 reports are disturbing in nature.,dtptraffic
Sir at Shadipur 3 lanes out of 4 are occupied by traffic turning towards Naraina. This block the traffic going towardPatel Ngr.,dtptraffic
is it advisable to travel to delhi station from bhiwadi today?,dtptraffic
this type of worst service effected me and my parents very much. When this train will come how can i know.,RailMinIndia
We work with to ensure street children are safe and not slip into crime. Thanks.,DelhiPolice
Sir I have licenses photo copy and ICICI bank card but tc is asking original. Do I have to pay fine if I din bring that?,RailMinIndia
Traffic at a stand still. Uttam Nagar West Road.,dtptraffic
NGET not wrking since 2 day ID : icmulnk01418 cont: 8690797666.,RailMinIndia
How is the traffic on NH-8 towards Gurgaon. Any blockage by Taxi unions etc.,dtptraffic
Why no lane discipline on delhi roads. Why police not giving fines to lady drivers on two wheeler.,dtptraffic
Traveling in Bhaglpur delhi ex. PNR-6654718249 Trn:12349. Without pantry car unauthorised vendors and running late.,RailMinIndia
this is hw Ache din aa gaye. did any1 see ths lvel of responsblity and acountability since Independence.,RailMinIndia
India Railways to create History. Thanks.,RailMinIndia
"Please help with Stridhan Recovery FIR 38/16 details given via link <a href="""" on Twitter</a>.",DelhiPolice
crime branch and Spl Cell arrest 3 and recover 20 Pistols 10 Single Barrel Gun and 5000 cartridges.,DelhiPolice
Tagging for action pl.,DelhiPolice
After and then also comes up with innovative ways to educate people!,DelhiPolice
18310 all the seats of sleeper coach are so dusty please take care next time.,RailMinIndia
Great Improvement in Railway thanks. railway.,RailMinIndia
Another Thullu caught btw why suddenly CBI is in action agnst Dal may kuch kala hai ?,DelhiPolice
sir we are daily commuters. Why dont you listen to us. Why MP MLA source is need for train stoppage at GZN or statn.,RailMinIndia
online recruitment form not available on website. Pls help us.,IncomeTaxIndia
pune region.,IncomeTaxIndia
SOLVE THE PROBLEM OF TRN 37232 BDC - HWH PASSGN ARE SITTING IN 2ND VENDOR OTHER PASG FACE PROBLEM.,RailMinIndia
Seat broken need urgent replacement in shatabdi pnr 2417732511 coach c7 seat 19 train no 12018.,RailMinIndia
Advisory for Tax payers from.,IncomeTaxIndia
Where is the traffic light at Dwarka Sector 9 crossing.,dtptraffic
Its too hard to get a confirmed ticket uregnt need cnf ticket from lko to Bhopal tried tatkal also Pls help PNR 2417289575.,RailMinIndia
my friend got fraud call from the attached number for seeking existing insurance details.,DelhiPolice
Heavy traffic on Moolchand BRT. do something about it maybe? Stuck here for almost 30 minutes now.,dtptraffic
Services to AC class may have been improved however it is still worse for Sleeper class passengers.,RailMinIndia
can u plz help my friend victim of corruption in Delhi.,DelhiPolice
can you pls apprise about the traffic situation on the nh8 from GGN to DEL.,dtptraffic
I am in train 22182 train is starting from NZM and der is lot of dust in coach S6 and toilet r dirty.,RailMinIndia
is it TIN num is not required for sweet shops? Have a look on Dehri's biggest sweet shop's bill.,IncomeTaxIndia
It's not funny how often violate traffic rules - driving on wrong side turning without indicator etc.,DelhiPolice
Why can't we make 50 roads redlight free/one way during peak hrs. It can be better solution than odd-even.,dtptraffic
sir i hv a request pls do something for the pessenger of general coach in andhrapradesh and orissa route bcoz transgender .,RailMinIndia
sir water tank is empty in train no 12335. N train has arrived at mughalsarai station. Please consider this.,RailMinIndia
please make available injection dairyfairy after ujjain station 18246 b2 compartment pnr no. Fwd: PNR-241643694.,RailMinIndia
U/M LC. NO. 94 on SRPR-SGNR line replaced by RUB AT KM. 117/2-3. Enhancing safety by eliminating UMLC.,RailMinIndia
Burglary at my cousin's home. is here investigating. Their investigation team is here to collect the evidence.,DelhiPolice
Diesel CAB plying at Inderlok metro at 6. 50 p. m.,dtptraffic
If you can't run train 56261 in time means please shut down the train.,RailMinIndia
Nightmare Delhi Border NH8. Enthusiastic toll collectors walk on the highway block traffic. Cops stop trucks make it worse.,dtptraffic
. guys plz do smthng n lt me knw f more details reqrd.,DelhiPolice
Sir My Elder brother is travelling in train number 22866 with my 85 year old grandmother. The AC is not working plz help.,RailMinIndia
No otp received at Jaipur junction even after 10 min : tweeting for info. Purpose.,RailMinIndia
Sir 54473 never arrives on time at SBB but on 2. 5. 16 it broke all records when it arrived 240 min late. Wud u pl do somethng?,RailMinIndia
Salue them!,DelhiPolice
it is good time to go through NH8 oris there any problem at that route.,DelhiPolice
traffic moving very slow from akshardham towards gandhinagar.,dtptraffic
Delhi jammed BT useless nowhere seen regulating d traffic.,dtptraffic
: travelling in train 12970 washrooms are not at all clean and it is even smelling. Reaching sawai madhopur.,RailMinIndia
i m going to reopen case in DPG. and make fresh complain to PMO. no refund till date.,RailMinIndia
I am in train 12030. Coach C3. Two persons are drinking alcohol at Seat number 18 and 19 on same coach . Nobody is stopping .,RailMinIndia
train no-13072 pnr-655-1112178 coach-A1 ticketno-98202310 all seats are extremely vibrating unbearable sound mechanical probl.,RailMinIndia
Sir these days has poor performance while querying abt seats availability or PNR check.,RailMinIndia
one is S4 9. so pls some help me. my sister is almost blind. i . no passenger compromise with us. sr pls help me.,RailMinIndia
please help my friends.,RailMinIndia
Plz remove encroachment from gramin sewa from munirka main red light They are causing traffic jams.,dtptraffic
Stop illegal metro feeder buses from mahipalpur to chhatarpur as they halt traffic movement just to get more passengers.,dtptraffic
. Looks like the only place where the is no scarcity of water.,RailMinIndia
Every hope to get heard.,IncomeTaxIndia
pls bring bk Odd Even Scheme. At least it helped decongesting Delhi roads Nd traffic was managed well.,dtptraffic
all responsibility reverts getting to no end. Harrasment for public adding woes in summer. tr 22866.,RailMinIndia
16216 train runs with 200% occupancy plz run new train to reduce congestion.,RailMinIndia
anandoned car HR16P2999 standing outside my house since last 3 days. Need immediate help.,DelhiPolice
can we drive all india tourist permit vehicle in delhi.,dtptraffic
me hit by truck on date 15 April. i have submitted complain on date 17th April but till date no any response from your side.,DelhiPolice
More Interesting he travelled by to Delhi to reciv the award and was happy with the railway facility.,RailMinIndia
sir my pnr 6551829288. Trn 12521. On bpl stn. I need to stay here till mrng bcoz its 2 night. Unbl 2 find 1/2.,RailMinIndia
luggage 70. 6 KG train no 12833. need to transfer SURAT TO HOWRAH. Coolies are asking 1500. Which is too high. Pls help us.,RailMinIndia
Who is sponsoring ur business class tickets. IT Dept shud cross check details.,IncomeTaxIndia
think about developing of bulandshahrup railway station.,RailMinIndia
1. Are there any rules in ncr regions that states that bachelor girls working in different company.,DelhiPolice
2. can not live in a rented flat in a society. ? Our society has a rule that states.,DelhiPolice
3. bachelors are only allowed if they work in same company and are not allowing us to live here.,DelhiPolice
IT refund of approx 33 000 for FY 2015-16 still not recd. I am employed post-retirement. Wish basic things work better.,IncomeTaxIndia
my pnr 8646812642 travelling in Ahmedabad pune duronto there is no water in the toilets not expected from train like this.,RailMinIndia
. is really setting the standards for super effective governance. Kudos to and staff.,RailMinIndia
Water leakage at kurnool station waiting room toilet. I hope it is fixed but please follow up. Ty.,RailMinIndia
dear sir iam traveling in train DOON  13009. Train departure time at dehradun aprox 7: 30 am but train now at Moradabad.,RailMinIndia
This seems to be a serious and open case of fraud in petrol pump in Delhi.,DelhiPolice
The plight of policemen well highlighted. police. administration.,DelhiPolice
Wrong side with besharmi please take some action 08:05 am / 04May16 Near Dharamshila hospital.,dtptraffic
plz consider purchasing high quality video equipment 2 nab culprits and avoid Pray for his spdy recovery.,dtptraffic
Parcel sent byWay Bill No. 389569 booked @ MFP not reached JP.,RailMinIndia
BreakingNews|Special cell of gets info on terror suspects. Around 12teams conducting raids in Delhiandneighbouring states:Sources.,DelhiPolice
Delhi police without helmet. If policemen breaks law why common people should follow?,dtptraffic
Breaking : Special cell conducts raids 12 detained. Terror link possible.,DelhiPolice
Breaking : Special cell conducts raids 12 detained. Terror link possible. via.,DelhiPolice
Poor Packaged Drinking Water Provided by Pantry Car. In Ispat express Train no 18271.,RailMinIndia
Delhi Breaking: 12 suspected militants arrested.,DelhiPolice
arrested 12 terrorists allegedly of jai she mohammed from Gokalpuri area.,DelhiPolice
S. C. pulls up Delhi Govt. to stop deisel taxisvand stop Theatrics.,dtptraffic
my frnd geting call frm 8757969668 claiming to b from Naptol asking to dposit 12500 so that they will deliever Safari car.,DelhiPolice
Police barricade has resulted in this total chaos at Kotla Mubarakpur for last 3 days. Please act.,dtptraffic
Please get sanity back on this Kotla Mubarakpur road.,dtptraffic
Terror Attackfoiled Congratulations to for preemptive measure andarrest which avert big terror attack.,DelhiPolice
It's the worst parked in main road kotla mubarak pur road - defence colony.,dtptraffic
. Special Cell detains 12 suspected terrorists linked to Jaish-e-Muhammad from Delhi and UP. IEDs recovered: Sources.,DelhiPolice
Well done Delhi police 》》.,DelhiPolice
. Special Cell detains 12 suspected terrorists linked to Jaish-e-Muhammad from Delhi and UP.,DelhiPolice
10+ DTP for ITO to Preet Vihar on empty roads but none to help traffic mess towards ITO! Daily.,dtptraffic
Pic of the day ✌ ✌.,dtptraffic
Well done !,DelhiPolice
my brother traveling Kamakhya to Bangaluru train. PNR No-6251085991 Train No-02510. there was no fan. plz help.,RailMinIndia
"Delhi Police hv busted a JeM terror module active in Capital. 12 """"Afjals"""" arrested. Gr8 Job.",DelhiPolice
Hey is der a huge demand to run 02074 if so pl run VSKP-TPTY JS on similar lines.,RailMinIndia
IB and busted a Jaish-e-Mohammed terror module active in the national capital.,DelhiPolice
Police takes action on basis of intel input. has done good work-Kiren Rijiju on 12 suspected JeM terrorists detained .,DelhiPolice
Special cell is interrogating suspected 13 Jem terrorists right now. 9 arrested from Delhi and 4 from Deoband UP.,DelhiPolice
Big network of terror outfit Jaish E Mohammad foiled by Spl Cell in Capital and UP 12 suspects held sofar reports.,DelhiPolice
Plz look into this matter Sir.,DelhiPolice
Anti Terror Ops reaching capital. All we need is a new crop of Encounter Specialists for Special Branch.,DelhiPolice
seized explosives in good quantity frm suspected Jem terrorists- sources. Interrogation continues. Seems a Big catch.,DelhiPolice
Sir my prr no is 4000355256 I can not getting on line status of it .,RailMinIndia
no service tax number no clear total amt.,RailMinIndia
Often get fake calls asking credit card details and threat. Can you please crack them Sir. maharashtra police.,DelhiPolice
fruit vendors with their bullock carts stand at NH 24 in the evenings near Mayur vihar 2 side block evening traffic.,dtptraffic
pantry car people. it happened at itarasi. lots of people suffered due to this. we had to pay again for food.,RailMinIndia
this cop in CP is harassing my driver without any fault. Seized his license and RC for 3 mnths!,dtptraffic
Terror network unearthed from Delhi and UP. 3 arrested. Many detained. According to they were all working for JEM.,DelhiPolice
Please help my Dad hasn't received IT refund since 9 months. bad_E-governance.,IncomeTaxIndia
it seems you still don't have time to look at my issues. Shame.,RailMinIndia
everyday their is traffic jam in front of Okhla Subji mandi due to Rickshaw and Thelas. Do some solution.,dtptraffic
Great work by .,DelhiPolice
? thank you.,DelhiPolice
so no comments from to congratulate for todays terrorist arrest. he can only abuse them who work for us.,DelhiPolice
You guys are the BEST!,DelhiPolice
Absurdity of IRCTC rules only 6 transactions allowed per month. Do you LIKE maintaining a db of fake users?,RailMinIndia
waiting the tweet of criticiaing . bcoz they hv arrested votebank of him.,DelhiPolice
Congratulations . you work 24*7 for us. dont care for politicians who abuse you.,DelhiPolice
Can u solve traffic mess at mahipalpur to chhatarpur Huge congestion due metro feeder buses Its a mess.,dtptraffic
Great work!,DelhiPolice
it's sad that people won't understand the importance of this proactive action of DP. kudos.,DelhiPolice
Sir AC not working in 2A it's so hot and train is running 8h late too NAUCHANDI EXP PNR-2217690500 A1-14 Pls help!,RailMinIndia
pls inform me when the inauguration of BG line between PRNA and Shc would be commenced? Thanks.,RailMinIndia
If hd bn under these terrorists wd never hd bn captured but treated as guest.,DelhiPolice
Sarai Rohilla North distt. Organised a Free Medical checkup camp thnx to and team.,DelhiPolice
Sarai Rohilla north distt. organised free medical checkup camp thnx to.,DelhiPolice
Delhi Police detains 12 JEM terrorists during raid Delhi Police slams terrorist Nice work.,DelhiPolice
Delhipolice should be congratulated on the arrest of presumable terrorists. probably one news has surfaced amongst countless.,DelhiPolice
